code,name,price,hsl,估算日额万,mktcap亿
002840,华统股份,9.25,5.55,40894.0,74.2
001208,华菱线缆,14.85,8.63,40870.0,94.8
300790,宇瞳光学,18.25,4.9,40831.0,94.97
300655,晶瑞电材,12.05,3.02,40802.0,135.76
000799,酒鬼酒,39.38,3.19,40779.0,127.96
300693,盛弘股份,40.13,3.76,40671.0,125.52
601579,会稽山,24.07,3.52,40586.0,115.41
300546,雄帝科技,18.79,15.65,40576.0,35.26
002094,青岛金王,5.75,10.2,40498.0,39.73
603687,大胜达,16.25,4.53,40449.0,89.38
301312,智立方,75.59,6.3,40340.0,127.38
002365,永安药业,14.34,11.44,40282.0,42.26
688381,帝奥微,35.48,4.58,40195.0,87.81
002246,北化股份,21.35,3.43,40160.0,117.22
688356,键凯科技,79.8,8.29,40107.0,48.4
300263,隆华科技,9.8,4.19,40077.0,101.43
000716,黑芝麻,5.46,9.94,39917.0,41.11
002565,顺灏股份,8.59,4.38,39843.0,91.05
300986,志特新材,12.04,5.75,39816.0,69.32
600360,华微电子,9.66,4.29,39763.0,92.76
300465,高伟达,12.37,7.23,39707.0,54.89
600857,宁波中百,20.78,8.5,39641.0,46.61
300553,集智股份,50.16,9.28,39614.0,55.69
000612,焦作万方,11.03,3.01,39613.0,131.5
688106,金宏气体,25.65,2.89,39328.0,137.57
301262,海看股份,20.77,15.5,39305.0,86.61
600258,首旅酒店,11.95,2.93,39126.0,133.43
002215,诺 普 信,10.62,4.56,39106.0,106.65
603395,红四方,27.06,22.16,38985.0,70.36
002285,世联行,2.37,8.3,38934.0,47.23
688059,华锐精密,84.63,3.51,38891.0,118.47
002011,盾安环境,10.85,3.37,38800.0,116.58
300895,铜牛信息,56.13,10.11,38724.0,79.03
300283,温州宏丰,12.61,8.08,38694.0,62.67
688456,有研粉材,71.03,5.25,38656.0,73.63
605162,新中港,10.68,8.16,38576.0,47.3
300534,陇神戎发,13.2,9.65,38468.0,40.04
688660,电气风电,8.42,3.42,38365.0,112.27
002567,唐人神,4.05,6.62,38361.0,58.04
002937,兴瑞科技,28.04,4.29,37923.0,88.61
603906,龙蟠科技,18.7,3.6,37882.0,147.94
002952,亚世光电,21.67,13.04,37875.0,35.61
002292,奥飞娱乐,8.48,4.37,37698.0,125.39
300745,欣锐科技,28.42,9.32,37664.0,47.91
688035,德邦科技,63.67,4.16,37662.0,90.56
688221,前沿生物-U,17.42,5.76,37592.0,65.25
301566,达利凯普,23.66,7.34,37517.0,94.64
603990,麦迪科技,20.73,5.92,37456.0,63.28
000672,上峰材料,14.89,2.59,37390.0,144.34
300936,中英科技,73.72,10.62,37293.0,55.44
301529,福赛科技,107.0,5.48,37250.0,126.71
002881,美格智能,41.93,4.84,37208.0,126.75
603068,博通集成,39.7,6.17,37170.0,60.26
601015,陕西黑猫,3.67,4.95,37107.0,74.96
002988,豪美新材,26.15,5.68,37093.0,65.32
300511,雪榕生物,5.47,11.85,36931.0,35.05
002785,万里石,35.05,5.39,36724.0,79.43
300598,诚迈科技,33.39,5.03,36456.0,72.45
