code,name,mktcap亿,日额万,①毛利率升,②CapEx增(代理),②在建同比(待核实),③OCF/净利,④预收增(代理),通过项数,备注
002274,华昌化工,58.28,49452.0,True,False,?,True,?,2,观察
300884,狄耐克,33.31,6484.0,False,True,?,False,True,2,淘汰
601008,连云港,55.46,6702.0,True,False,?,True,?,2,观察
605228,神通科技,51.37,6665.0,True,False,?,True,False,2,观察
688222,成都先导,125.97,48266.0,True,False,?,True,?,2,观察
603708,家家悦,60.13,8105.0,True,False,?,True,False,2,淘汰
301327,华宝新能,75.19,8079.0,True,False,?,True,?,2,淘汰
002419,天虹股份,54.55,8065.0,False,True,?,True,False,2,淘汰
688095,福昕软件,57.56,32614.0,True,False,?,True,?,2,观察
300634,彩讯股份,91.6,32523.0,True,False,?,False,True,2,淘汰
301380,挖金客,33.27,14233.0,False,True,?,True,False,2,淘汰
688365,光云科技,65.61,32203.0,False,False,?,True,True,2,观察
000026,飞亚达,80.14,34712.0,False,True,?,True,False,2,淘汰
002997,瑞鹄模具,59.68,7957.0,True,True,?,False,?,2,淘汰
301348,蓝箭电子,50.47,13288.0,True,False,?,True,?,2,观察
688667,菱电电控,46.64,7915.0,False,True,?,True,?,2,观察
000880,潍柴重机,112.72,47852.0,True,False,?,True,?,2,观察
600527,江南高纤,39.14,6787.0,True,False,?,True,False,2,淘汰
301270,汉仪股份,31.36,6770.0,True,False,?,True,?,2,淘汰
300850,新强联,111.14,34391.0,True,False,?,True,False,2,淘汰
301321,翰博高新,77.65,34379.0,True,False,?,True,?,2,观察
300031,宝通科技,86.76,34265.0,True,False,?,True,?,2,观察
300049,福瑞医科,111.67,34095.0,True,False,?,True,False,2,淘汰
600638,新黄浦,34.07,8038.0,True,False,?,True,False,2,观察
603790,雅运股份,45.98,8034.0,True,False,?,True,?,2,观察
002962,五方光电,37.39,8026.0,True,False,?,True,False,2,淘汰
301005,超捷股份,123.1,33913.0,False,True,?,True,?,2,淘汰
603065,宿迁联盛,60.12,33468.0,True,False,?,True,?,2,淘汰
002952,亚世光电,35.61,37875.0,False,True,?,True,?,2,观察
300511,雪榕生物,35.05,36931.0,False,True,?,True,?,2,观察
688593,新相微,134.78,36443.0,True,False,?,True,?,2,淘汰
605365,立达信,79.52,36167.0,True,False,?,True,?,2,淘汰
301093,华兰股份,132.99,46407.0,True,False,?,True,?,2,淘汰
002585,双星新材,101.24,43667.0,True,False,?,True,?,2,观察
300566,激智科技,63.93,45851.0,False,True,?,True,?,2,淘汰
003043,华亚智能,98.4,45724.0,True,False,?,True,?,2,观察
603958,哈森股份,45.43,45355.0,True,False,?,True,?,2,观察
002349,精华制药,63.66,35923.0,True,False,?,True,?,2,淘汰
600327,大东方,34.95,7671.0,False,False,?,True,True,2,淘汰
300022,吉峰科技,39.79,7725.0,False,True,?,True,?,2,观察
000501,武商集团,58.06,13325.0,False,False,?,True,True,2,淘汰
002640,跨境通,53.75,34080.0,True,False,?,False,True,2,淘汰
301047,义翘神州,111.83,34069.0,True,False,?,True,False,2,淘汰
300483,首华燃气,98.51,34793.0,False,True,?,True,?,2,观察
600103,青山纸业,79.55,126795.0,True,False,?,True,False,2,淘汰
300185,通裕重工,108.98,14345.0,True,False,?,True,?,2,淘汰
300767,震安科技,52.22,14275.0,True,False,?,True,?,2,观察
300783,三只松鼠,71.42,14261.0,True,True,?,False,?,2,淘汰
603778,国晟科技,71.22,123723.0,True,False,?,?,True,2,淘汰
603719,良品铺子,38.41,5377.0,False,False,?,True,True,2,观察
600108,亚盛集团,84.89,99216.0,True,False,?,False,True,2,淘汰
603890,春秋电子,98.84,114228.0,False,True,?,True,?,2,淘汰
600714,金瑞矿业,61.9,112716.0,True,False,?,True,?,2,淘汰
600540,新赛股份,35.52,110995.0,False,False,?,True,True,2,观察
300133,华策影视,143.79,110173.0,True,False,?,False,True,2,淘汰
002003,伟星股份,145.4,13287.0,True,False,?,True,?,2,淘汰
601828,美凯龙,95.78,13223.0,True,False,?,True,False,2,观察
301026,浩通科技,46.0,13442.0,False,True,?,True,?,2,观察
301226,祥明智能,35.09,13441.0,True,False,?,True,False,2,淘汰
002956,西麦食品,52.41,5384.0,True,False,?,True,?,2,观察
688626,翔宇医疗,64.13,7443.0,True,False,?,True,?,2,淘汰
001207,联科科技,53.17,7314.0,True,False,?,True,?,2,淘汰
002246,北化股份,117.22,40160.0,False,True,?,True,?,2,观察
688356,键凯科技,48.4,40107.0,True,False,?,True,?,2,淘汰
000716,黑芝麻,41.11,39917.0,False,True,?,True,False,2,观察
300986,志特新材,69.32,39816.0,True,False,?,True,?,2,淘汰
300553,集智股份,55.69,39614.0,True,False,?,True,?,2,淘汰
